fits_file,detector,type,x_min,y_min,x_max,y_max,centroid_x,centroid_y,width,height,area,fill_ratio,aspect_ratio,mean_intensity,max_intensity,priority,label,fragment_count
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,791,968,813,985,800.3355263157895,975.2302631578947,22,17,152.0,0.40641711229946526,1.2941176470588236,0.4668898466080796,1.0,70.9672566844281,70,2
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,137,1040,152,1052,143.8,1045.3809523809523,15,12,105.0,0.5833333333333334,1.25,0.4915170583887532,1.0,51.60929113081909,75,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,93,1082,111,1106,101.5,1093.3524590163934,18,24,122.0,0.2824074074074074,0.75,0.4092011267818004,1.0,49.92253746737965,76,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,34,1095,58,1103,46.083333333333336,1099.404761904762,24,8,84.0,0.4375,3.0,0.5632614050155229,1.0,47.313958021303925,81,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,508,379,537,387,523.5064935064935,382.68831168831167,29,8,77.0,0.33189655172413796,3.625,0.6068092509839667,1.0,46.72431232576543,82,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,659,1982,671,2004,665.081081081081,1994.2252252252251,12,22,111.0,0.42045454545454547,0.5454545454545454,0.4177705722541026,1.0,46.37253352020539,83,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,169,25,208,35,186.6341463414634,28.5609756097561,39,10,82.0,0.21025641025641026,3.9,0.5578219637649862,1.0,45.741401028728866,84,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1223,271,1233,290,1227.3846153846155,279.97802197802196,10,19,91.0,0.4789473684210526,0.5263157894736842,0.49647054065676405,0.973137758084351,45.17881919976553,85,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1876,2,1899,8,1886.267857142857,4.821428571428571,23,6,56.0,0.4057971014492754,3.8333333333333335,0.7584006128752391,1.0,42.470434321013386,92,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1517,223,1537,229,1526.78125,225.984375,20,6,64.0,0.5333333333333333,3.3333333333333335,0.6261838205659928,1.0,40.075764516223536,97,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,186,844,199,863,192.43529411764706,851.9882352941177,13,19,85.0,0.3441295546558704,0.6842105263157895,0.44717916223104626,1.0,38.01022878963893,99,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,275,844,298,852,285.66129032258067,847.983870967742,23,8,62.0,0.33695652173913043,2.875,0.5970875451697095,1.0,37.01942780052199,103,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1996,187,2023,193,2009.8428571428572,189.12857142857143,27,6,70.0,0.43209876543209874,4.5,0.5201329054897641,1.0,36.40930338428349,105,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,94,252,114,261,104.11940298507463,257.05970149253733,20,9,67.0,0.37222222222222223,2.2222222222222223,0.5351377324678954,1.0,35.85422807534899,106,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,24,685,44,731,34.13157894736842,707.0736842105263,20,46,190.0,0.20652173913043478,0.43478260869565216,0.36802214285470397,1.0,69.92420714239375,107,2
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,306,1302,319,1322,312.94059405940595,1311.8217821782177,13,20,101.0,0.38846153846153847,0.65,0.3465841600247557,1.0,35.00500016250033,108,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1469,800,1490,806,1478.9411764705883,802.9607843137255,21,6,51.0,0.40476190476190477,3.5,0.671266875280195,1.0,34.23461063928995,109,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,96,422,118,430,106.5,425.046875,22,8,64.0,0.36363636363636365,2.75,0.5192391868228426,1.0,33.23130795666193,110,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,577,636,593,658,585.4188034188035,646.5982905982906,16,22,117.0,0.33238636363636365,0.7272727272727273,0.2780588413319691,1.0,32.53288443584039,111,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1878,779,1900,790,1888.9166666666667,783.4861111111111,22,11,72.0,0.2975206611570248,2.0,0.44781001521989544,1.0,32.24232109583247,112,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,622,186,656,196,636.8913043478261,189.56521739130434,34,10,92.0,0.27058823529411763,3.4,0.3432681333003609,0.9567680445302248,31.5806682636332,115,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1322,1231,1345,1239,1331.7241379310344,1234.3275862068965,23,8,58.0,0.31521739130434784,2.875,0.5386978612039023,1.0,31.24447594982633,118,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1891,155,1922,164,1903.3333333333333,158.61111111111111,31,9,72.0,0.25806451612903225,3.4444444444444446,0.4214221995670227,1.0,30.342398368825634,119,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1174,217,1201,243,1188.6627218934912,229.10650887573965,27,26,169.0,0.24074074074074073,1.0384615384615385,0.2499995340506928,0.6782946243423322,42.249921254567084,121,2
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,105,1519,128,1532,114.88059701492537,1524.94776119403,23,13,134.0,0.44816053511705684,1.7692307692307692,0.4328230794231864,1.0,57.99829264270697,122,2
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1783,938,1805,946,1793.122807017544,940.8245614035088,22,8,57.0,0.32386363636363635,2.75,0.5229914375435922,1.0,29.810511939984757,123,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,247,433,257,440,251.41860465116278,436.04651162790697,10,7,43.0,0.6142857142857143,1.4285714285714286,0.66302400113544,1.0,28.51003204882392,125,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1730,2004,1756,2015,1742.2622950819673,2007.8196721311476,26,11,61.0,0.21328671328671328,2.3636363636363638,0.45878532759756396,1.0,27.9859049834514,127,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,541,1077,565,1084,552.9298245614035,1080.6315789473683,24,7,57.0,0.3392857142857143,3.4285714285714284,0.48813239703909056,1.0,27.82354663122816,128,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,189,1830,210,1834,199.3170731707317,1832.0487804878048,21,4,41.0,0.4880952380952381,5.25,0.6612719469784942,1.0,27.112149826118262,131,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1268,300,1283,315,1276.1149425287356,308.0919540229885,15,15,87.0,0.38666666666666666,1.0,0.30970083340429866,1.0,26.943972506173985,132,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,672,1993,682,2000,677.0238095238095,1996.7857142857142,10,7,42.0,0.6,1.4285714285714286,0.6363035060749656,1.0,26.724747255148554,134,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,986,1221,1000,1228,992.5217391304348,1224.4782608695652,14,7,46.0,0.46938775510204084,2.0,0.5788133027845873,1.0,26.625411928091015,136,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1262,1986,1284,1993,1272.5,1988.6458333333333,22,7,48.0,0.3116883116883117,3.142857142857143,0.5488978577113088,1.0,26.347097170142824,138,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1444,530,1462,537,1452.490909090909,532.6,18,7,55.0,0.4365079365079365,2.5714285714285716,0.47191580612587725,1.0,25.955369336923248,140,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,503,1481,514,1494,507.76785714285717,1487.9107142857142,11,13,56.0,0.3916083916083916,0.8461538461538461,0.4621359867737148,1.0,25.87961525932803,141,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,790,556,810,565,799.6851851851852,559.6851851851852,20,9,54.0,0.3,2.2222222222222223,0.45941557312616155,1.0,24.808440948812724,145,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,912,1011,931,1026,921.3736263736264,1018.3626373626373,19,15,91.0,0.3192982456140351,1.2666666666666666,0.2683732710605231,0.912555369956856,24.4219676665076,147,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,529,637,548,649,536.9285714285714,642.4142857142857,19,12,70.0,0.30701754385964913,1.5833333333333333,0.3434506986290322,1.0,24.041548904032254,151,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1426,1766,1445,1777,1435.5283018867924,1771.245283018868,19,11,53.0,0.2535885167464115,1.7272727272727273,0.44639134246975165,1.0,23.658741150896837,153,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1877,1457,1890,1465,1883.2407407407406,1460.1666666666667,13,8,54.0,0.5192307692307693,1.625,0.43689056367464696,1.0,23.592090438430937,154,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,840,836,859,844,850.26,841.34,19,8,50.0,0.32894736842105265,2.375,0.4644187959550525,1.0,23.220939797752624,157,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1342,1927,1357,1934,1349.5094339622642,1930.0,15,7,53.0,0.5047619047619047,2.142857142857143,0.43617077932959775,1.0,23.11705130446868,159,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1513,304,1523,316,1518.0833333333333,307.9791666666667,10,12,48.0,0.4,0.8333333333333334,0.47604157745612463,1.0,22.849995717893982,160,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1539,449,1562,454,1550.1836734693877,451.0612244897959,23,5,49.0,0.4260869565217391,4.6,0.4576731855347246,1.0,22.425986091201505,165,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,30,327,40,339,34.08510638297872,332.531914893617,10,12,47.0,0.39166666666666666,0.8333333333333334,0.47472859082405405,1.0,22.31224376873054,166,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1764,1869,1809,1881,1783.320610687023,1874.7175572519084,45,12,131.0,0.24259259259259258,3.75,0.30525150019305275,0.915186455358324,39.98794652528991,171,2
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,244,1971,262,1975,252.76,1972.92,18,4,25.0,0.3472222222222222,4.5,0.8489331225296491,1.0,21.22332806324123,172,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1634,1715,1652,1726,1642.4032258064517,1719.5,18,11,62.0,0.31313131313131315,1.6363636363636365,0.33536691589814716,1.0,20.792748785685124,176,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,315,1325,340,1337,329.9736842105263,1331.092105263158,25,12,76.0,0.25333333333333335,2.0833333333333335,0.27247285072226046,0.8934629117908895,20.707936654891796,178,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,809,676,826,690,817.5873015873016,683.1428571428571,17,14,63.0,0.2647058823529412,1.2142857142857142,0.32634796597503063,1.0,20.55992185642693,179,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,182,881,197,890,188.67567567567568,885.3513513513514,15,9,37.0,0.2740740740740741,1.6666666666666667,0.5552652798967349,1.0,20.544815356179193,180,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,795,951,816,957,804.4285714285714,953.7551020408164,21,6,49.0,0.3888888888888889,3.5,0.41762328740841387,1.0,20.46354108301228,181,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1502,1659,1514,1670,1508.0,1664.9038461538462,12,11,52.0,0.3939393939393939,1.0909090909090908,0.3914562620229965,1.0,20.355725625195817,183,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,822,1391,832,1402,826.3538461538461,1395.5076923076922,10,11,65.0,0.5909090909090909,0.9090909090909091,0.31230237057346116,0.7708794373848482,20.299654087274977,184,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1328,1793,1339,1801,1332.3809523809523,1796.8333333333333,11,8,42.0,0.4772727272727273,1.375,0.4824658984419406,1.0,20.263567734561505,185,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,804,1321,818,1327,809.8108108108108,1324.3783783783783,14,6,37.0,0.44047619047619047,2.3333333333333335,0.5453528751907822,1.0,20.178056382058944,186,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,409,1538,419,1547,413.39130434782606,1542.9565217391305,10,9,46.0,0.5111111111111111,1.1111111111111112,0.43550852144918595,1.0,20.033391986662554,187,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,16,953,38,960,26.074074074074073,955.9444444444445,22,7,54.0,0.35064935064935066,3.142857142857143,0.3655539454825284,1.0,19.739913056056533,188,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1313,1582,1325,1590,1317.804347826087,1584.9565217391305,12,8,46.0,0.4791666666666667,1.5,0.42098268578908205,1.0,19.365203546297774,191,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1343,21,1355,29,1347.516129032258,24.225806451612904,12,8,31.0,0.3229166666666667,1.5,0.6226042541230377,1.0,19.30073187781417,192,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1366,1747,1382,1759,1373.857142857143,1751.7142857142858,16,12,56.0,0.2916666666666667,1.3333333333333333,0.34378272265240345,1.0,19.251832468534595,193,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,355,838,373,858,362.6666666666667,847.6153846153846,18,20,78.0,0.21666666666666667,0.9,0.24537866525589302,0.6637804660571677,19.139535889959657,194,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1595,1862,1614,1870,1605.0212765957447,1865.063829787234,19,8,47.0,0.3092105263157895,2.375,0.3971607416734955,1.0,18.66655485865429,198,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1598,989,1607,996,1601.6363636363637,991.7575757575758,9,7,33.0,0.5238095238095238,1.2857142857142858,0.5588341475853661,1.0,18.44152687031708,199,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,362,876,377,882,368.3448275862069,878.8965517241379,15,6,29.0,0.32222222222222224,2.5,0.6262099957928784,1.0,18.160089877993475,200,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,442,1596,455,1604,448.0967741935484,1599.3387096774193,13,8,62.0,0.5961538461538461,1.625,0.2916079996110253,0.6927283089478817,18.079695975883567,201,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,67,1595,79,1604,73.06557377049181,1599.0983606557377,12,9,61.0,0.5648148148148148,1.3333333333333333,0.2931056572223774,0.6340222936049245,17.87944509056502,202,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,1394,274,1407,287,1399.4492753623188,280.2608695652174,13,13,69.0,0.40828402366863903,1.0,0.2548760570548977,0.651826240769487,17.58644793678794,206,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,361,1433,371,1442,365.6190476190476,1436.8095238095239,10,9,42.0,0.4666666666666667,1.1111111111111112,0.4145464741342163,1.0,17.410951913637085,207,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,42,382,53,393,47.5,388.12,11,11,50.0,0.4132231404958678,1.0,0.34804771494285325,1.0,17.402385747142663,208,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,631,634,661,643,645.5,638.1607142857143,30,9,56.0,0.2074074074074074,3.3333333333333335,0.5352854118084116,1.0,29.97598306127105,209,2
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,814,1891,827,1902,819.9791666666666,1896.4375,13,11,48.0,0.3356643356643357,1.1818181818181819,0.3616739217967466,1.0,17.360348246243838,210,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,406,7,418,16,411.38,11.6,12,9,50.0,0.46296296296296297,1.3333333333333333,0.34588748110770906,0.7492419602624075,17.294374055385454,211,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,573,1914,595,1921,583.972602739726,1917.4383561643835,22,7,73.0,0.474025974025974,3.142857142857143,0.4560811850878489,1.0,33.29392651141297,214,2
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,127,595,134,605,130.125,598.9,7,10,40.0,0.5714285714285714,0.7,0.42889104374858816,1.0,17.155641749943527,215,1
EUC_SIR_W-SCIFRM_BKGSUB_2681_11832_3_RGS180_0_2024-10-31T17:44:11.173589Z_det0,DET11.SCI,confident,77,316,90,327,82.25,322.125,13,11,48.0,0.3356643356643357,1.1818181818181819,0.3572955286365143,1.0,17.150185374552688,216,1
